Posted_date,Job Title,Country,Company,Skill
11/28/2024,Linguistic AI prompt QA - Ukrainian,germany,RWS Group,English
11/28/2024,Linguistic AI prompt QA - Ukrainian,germany,RWS Group,Quality Assurance
11/28/2024,Linguistic AI prompt QA - Ukrainian,germany,RWS Group, Ukrainian
12/03/2024,Data Science Internship,germany,Refonte Learning,Algorithms
12/03/2024,Data Science Internship,germany,Refonte Learning,Artificial Intelligence (AI)
12/03/2024,Data Science Internship,germany,Refonte Learning,Cloud Computing
12/03/2024,Data Science Internship,germany,Refonte Learning,Data Analysis
12/03/2024,Data Science Internship,germany,Refonte Learning,DevOps
12/03/2024,Data Science Internship,germany,Refonte Learning,Financial Data Analysis
12/03/2024,Data Science Internship,germany,Refonte Learning,Pas (Software)
12/03/2024,Data Science Internship,germany,Refonte Learning,Process Engineering
12/03/2024,Data Science Internship,germany,Refonte Learning,Python (Programming Language)
12/03/2024,Data Science Internship,germany,Refonte Learning, Team Spirit
11/28/2024,Analytics Specialist,germany,Odiin.,Data Analytics
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Amazon Web Services (AWS)
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Analytics
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Communication
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Data Analytics
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Data Pipelines
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,English
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,German
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Git
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group,Knowledge Sharing
12/04/2024,Intern Data Analytics (f/m/x),germany,BMW Group, Language Skills
11/28/2024,Linguistic AI prompt QA - Hebrew,germany,RWS Group,Communication
11/28/2024,Linguistic AI prompt QA - Hebrew,germany,RWS Group,Hebrew
11/28/2024,Linguistic AI prompt QA - Hebrew,germany,RWS Group, Quality Assurance
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Algorithms
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Analytical Skills
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Business Analysis
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Communication
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Data Analysis
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Data Science
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Financial Analysis
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Machine Tools
12/05/2024,Data Analytics Intern,germany,Refonte Learning,Python (Programming Language)
12/05/2024,Data Analytics Intern,germany,Refonte Learning, Text Analytics
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Analytics
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Computer Science
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Data Analysis
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Data Analytics
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Data Science
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Data Visualization
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Predictive Modeling
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Problem Solving
11/29/2024,Data Analyst - Intern (Remote Internship - Data Analysis),germany,Kreativstorm,Statistical Analysis
