id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Salary,Skills,Source
1,12/04/2024,Backend developer,Node.js Developer (w/m/d),ZABEL,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Hamburg, Hamburg, Germany",NaN,"Angular, Front-End Development, Full-Stack Development, JavaScript, Node.js, React.js, TypeScript,  Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4090651809&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
2,11/07/2024,Backend developer,Back End Developer,Andela,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,European Union,NaN,"API Development, Go (Programming Language), JavaScript, REST APIs,  React.js",https://www.linkedin.com/jobs/search/?currentJobId=4067409111&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
3,11/28/2024,Backend developer,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,Fokus Academics,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Darmstadt, Hesse, Germany",NaN,"Code Review, Confluence, Doctrine (PHP), HTML, JavaScript, Jira, PHP, SQL, Web Application Development,  Web Development",https://www.linkedin.com/jobs/search/?currentJobId=4082423158&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
4,11/21/2024,Backend developer,Backend Developer: Looking for NodeJs Experts,Assemblio,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,Stuttgart Region,NaN,"Back-End Web Development, Databases, Microservices, Node.js, RESTful WebServices, Software Development,  Web Development",https://www.linkedin.com/jobs/search/?currentJobId=4072008309&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
5,11/05/2024,Backend developer,Working Student - Cloud-Native Backend Developer (f/d/m),SAP Fioneer,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Munich, Bavaria, Germany",NaN,"Apache Kafka, Computer Science, German, Hibernate, PostgreSQL, Project-based Learning, RabbitMQ, Requirements Analysis, Spoken English,  Spring Boot",https://www.linkedin.com/jobs/search/?currentJobId=4060977795&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
6,12/04/2024,Backend developer,Javascript Full-Stack Developer,micro1,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,EMEA,NaN,"Full-Stack Development, JavaScript, JavaScript Frameworks,  React.js",https://www.linkedin.com/jobs/search/?currentJobId=4090325729&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
7,11/28/2024,Backend developer,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,Fokus Academics,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Ingolstadt, Bavaria, Germany",NaN,"Code Review, Confluence, Doctrine (PHP), HTML, JavaScript, Jira, PHP, SQL, Web Application Development,  Web Development",https://www.linkedin.com/jobs/search/?currentJobId=4082420322&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
8,12/04/2024,Backend developer,Back End Developer,YunoJuno,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,European Union,NaN,"AWS Lambda, Amazon Web Services (AWS), DevOps, Infrastructure as code (IaC), Java, Java Development,  Microservices",https://www.linkedin.com/jobs/search/?currentJobId=4090118809&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
9,11/28/2024,Backend developer,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,Fokus Academics,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Stein bei Nürnberg, Bavaria, Germany",NaN,"Code Review, Confluence, Doctrine (PHP), HTML, JavaScript, Jira, PHP, SQL, Web Application Development,  Web Development",https://www.linkedin.com/jobs/search/?currentJobId=4082421168&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
10,12/04/2024,Backend developer,Senior Backend Engineer (Go),Few&Far,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,European Union,NaN,"Amazon Web Services (AWS), Continuous Integration  Continuous Delivery (CI/CD), Cross-border Transactions, Docker Products, Event-driven, Go (Programming Language), Microservices, Payment Systems, PostgreSQL,  Terraform",https://www.linkedin.com/jobs/search/?currentJobId=4090503961&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
11,12/04/2024,Backend developer,Senior Backend Engineer (Go),Few&Far,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,European Union,NaN,"Amazon Web Services (AWS), Continuous Integration  Continuous Delivery (CI/CD), Cross-border Transactions, Docker Products, Event-driven, Go (Programming Language), Microservices, Payment Systems, PostgreSQL,  Terraform",https://www.linkedin.com/jobs/search/?currentJobId=4090503961&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
12,11/21/2024,Backend developer,Backend Software Developer (f/m/d),XXXLdigital – Part of XXXL Group,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Munich, Bavaria, Germany",NaN,Node.js,https://www.linkedin.com/jobs/search/?currentJobId=3949146478&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
13,11/28/2024,Backend developer,Web Application Backend Developer (m/w/d),Fokus Academics,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Marburg an der Lahn, Hesse, Germany",NaN,"Code Review, Confluence, Doctrine (PHP), HTML, JavaScript, Jira, Model-View-Controller (MVC), PHP, SQL,  Web Application Development",https://www.linkedin.com/jobs/search/?currentJobId=4082418694&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
14,11/07/2024,Backend developer,Backend Developer (M/W/D),Technology & Strategy,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Berlin, Germany",NaN,"Amazon Web Services (AWS), Ansible, Back-End Web Development, Cloud Infrastructure, DevOps, English, Infrastructure as code (IaC), Java, Java Development,  Terraform",https://www.linkedin.com/jobs/search/?currentJobId=4069827518&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
15,12/04/2024,Backend developer,Senior Backend Developer,Lodgify,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,EMEA,NaN,".NET Core, .NET Framework, C#, Docker Products, Domain-Driven Design (DDD), English, Entity Framework, PostgreSQL, SQL,  Unit Testing",https://www.linkedin.com/jobs/search/?currentJobId=4088065179&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
16,11/28/2024,Backend developer,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,Fokus Academics,https://media.licdn.com/dms/image/v2/D4E0BAQHS-WX8NtmA3g/company-logo_100_100/company-logo_100_100/0/1719922025080?e=1741219200&v=beta&t=ZzmLL_cPT9r68pr-fWdMbl9JgX-xavZqBGgTQ19SvqQ,germany,"Oldenburg, Lower Saxony, Germany",NaN,"Code Review, Confluence, Doctrine (PHP), HTML, JavaScript, Jira, PHP, SQL, Web Application Development,  Web Development",https://www.linkedin.com/jobs/search/?currentJobId=4082423097&geoId=101282230&keywords=Backend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
