id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Salary,Skills,Source
1,11/28/2024,Data analyst,Linguistic AI prompt QA - Ukrainian,RWS Group,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,EMEA,NaN,"English, Quality Assurance,  Ukrainian",https://www.linkedin.com/jobs/search/?currentJobId=4070754819&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
2,12/03/2024,Data analyst,Data Science Internship,Refonte Learning,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,European Union,NaN,"Algorithms, Artificial Intelligence (AI), Cloud Computing, Data Analysis, DevOps, Financial Data Analysis, Pas (Software), Process Engineering, Python (Programming Language),  Team Spirit",https://www.linkedin.com/jobs/search/?currentJobId=4089522309&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
3,11/28/2024,Data analyst,Analytics Specialist,Odiin.,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,EMEA,NaN,Data Analytics,https://www.linkedin.com/jobs/search/?currentJobId=4083887075&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
4,12/04/2024,Data analyst,Intern Data Analytics (f/m/x),BMW Group,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,"Munich, Bavaria, Germany",NaN,"Amazon Web Services (AWS), Analytics, Communication, Data Analytics, Data Pipelines, English, German, Git, Knowledge Sharing,  Language Skills",https://www.linkedin.com/jobs/search/?currentJobId=4090126058&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
5,11/28/2024,Data analyst,Linguistic AI prompt QA - Hebrew,RWS Group,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,EMEA,NaN,"Communication, Hebrew,  Quality Assurance",https://www.linkedin.com/jobs/search/?currentJobId=4066114338&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
6,12/05/2024,Data analyst,Data Analytics Intern,Refonte Learning,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,European Union,NaN,"Algorithms, Analytical Skills, Business Analysis, Communication, Data Analysis, Data Science, Financial Analysis, Machine Tools, Python (Programming Language),  Text Analytics",https://www.linkedin.com/jobs/search/?currentJobId=4090754155&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
7,11/29/2024,Data analyst,Data Analyst - Intern (Remote Internship - Data Analysis),Kreativstorm,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,"Munich, Bavaria, Germany",NaN,"Analytics, Computer Science, Data Analysis, Data Analytics, Data Science, Data Visualization, Predictive Modeling, Problem Solving, Statistical Analysis,  Visualization",https://www.linkedin.com/jobs/search/?currentJobId=4087217590&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
8,11/05/2024,Data analyst,AI&Business Analyst / Consultant (Remote Internship),SCALEUP.agency,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,"Berlin, Berlin, Germany",NaN,"Business Intelligence (BI), Business Requirements, Coaching & Mentoring, Database Administration, Descriptive Analysis, Problem Solving, Summarizing Information, Tableau, Technical Reports,  User Acceptance Testing",https://www.linkedin.com/jobs/search/?currentJobId=4044583473&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
9,12/05/2024,Data analyst,Data Analyst,Intellect Group,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,"Munich, Bavaria, Germany",NaN,"Computer Engineering, Computer Science, Data Analysis, Data Engineering, Data Science, Mathematics,  Python (Programming Language)",https://www.linkedin.com/jobs/search/?currentJobId=4090726295&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
10,12/04/2024,Data analyst,Data Annotator,Thoth AI,https://media.licdn.com/dms/image/v2/C4D0BAQHYzukW3o8DsQ/company-logo_100_100/company-logo_100_100/0/1663672522424?e=1741219200&v=beta&t=Li01Uh_iBR2o44ewMuuc1uFE1q1i0OWiAAe9w3ok0EE,germany,European Union,NaN,"Data Annotation, English, Linguistics,  Spanish",https://www.linkedin.com/jobs/search/?currentJobId=4088709431&geoId=101282230&keywords=Data%20analyst&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
