id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Salary,Skills,Source
1,12/05/2024,Frontend developer,Front End Software Engineer - React - Remote (EU),Initi8 Recruitment,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,European Economic Area,NaN,"Amazon Web Services (AWS), Continuous Integration  Continuous Delivery (CI/CD), Front-end Coding, JavaScript, Microsoft Azure, React.js,  Redux.js",https://www.linkedin.com/jobs/search/?currentJobId=4090749629&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
2,11/14/2024,Frontend developer,Frontend Developer,trg.recruitment,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,EMEA,NaN,"Blockchain, JavaScript, JavaScript Frameworks, React.js, Startups,  User Interface Design",https://www.linkedin.com/jobs/search/?currentJobId=4071393067&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
3,12/04/2024,Frontend developer,Frontend Developer (m/w/d),Optimyze Consulting,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,"Bavaria, Germany",NaN,"Angular, JavaScript, React.js, TypeScript,  Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4089442203&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
4,12/04/2024,Frontend developer,REACT Developer (w/m/d),ZABEL,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,"Hamburg, Hamburg, Germany",NaN,"Angular, Full-Stack Development, JavaScript, JavaScript Frameworks, Node.js, React.js, TypeScript,  Vue.js",https://www.linkedin.com/jobs/search/?currentJobId=4090651738&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
5,12/04/2024,Frontend developer,Frontend Developer – Frankfurt,Noir,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,Frankfurt Rhine-Main Metropolitan Area,NaN,".NET Core, .NET Framework, ASP.NET MVC, Blazor, C#, Entity Framework, HTML5, JavaScript, Microsoft Azure,  Microsoft SQL Server",https://www.linkedin.com/jobs/search/?currentJobId=4090506315&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
6,12/04/2024,Frontend developer,Desarrollador de front-end,IFIT Solutions,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,European Economic Area,NaN,"Angular, Back-End Web Development, English, Front-End Development, Git, HTML, HTML5, JavaScript, Scrum,  Web Applications",https://www.linkedin.com/jobs/search/?currentJobId=4089778107&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
7,12/04/2024,Frontend developer,Frontend Developer – Nürnberg,Noir,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,Greater Nuremberg Metropolitan Area,NaN,".NET Core, .NET Framework, ASP.NET MVC, Blazor, C#, Entity Framework, HTML5, JavaScript, Microsoft Azure,  Microsoft SQL Server",https://www.linkedin.com/jobs/search/?currentJobId=4088298899&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
8,12/04/2024,Frontend developer,Frontend Developer – Berlin,Noir,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,"Berlin, Germany",NaN,".NET Core, .NET Framework, ASP.NET MVC, Blazor, C#, Entity Framework, HTML5, JavaScript, Microsoft Azure,  Microsoft SQL Server",https://www.linkedin.com/jobs/search/?currentJobId=4088298972&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
9,12/03/2024,Frontend developer,Frontend Developer,SR2 | Socially Responsible Recruitment | Certified B Corporation™,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,"Munich, Bavaria, Germany",NaN,JavaScript,https://www.linkedin.com/jobs/search/?currentJobId=4087118016&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
10,12/04/2024,Frontend developer,Frontend Engineer,Odiin.,https://media.licdn.com/dms/image/v2/D4E0BAQEhGkpwf78QXQ/company-logo_100_100/company-logo_100_100/0/1689953516680/initi8_recruitment_logo?e=1741219200&v=beta&t=kpVaPA5YbDnncSnFsLCxi9cgkkFAaltPGb6eYSFLMBg,germany,EMEA,NaN,"Coding Stards, Engineering, Protocol Design,  Solidity",https://www.linkedin.com/jobs/search/?currentJobId=4088712155&geoId=101282230&keywords=Frontend%20developer&origin=JOBS_HOME_SEARCH_BUTTON&refresh=true
